history_id,opportunity_id,field,old_value,new_value,created_date,created_by
HIST-0005337,OPP-00681,StageName,,1 - Prospecting,2021-03-09,Melissa Grant
HIST-0005338,OPP-00681,CloseDate,,2021-10-31,2021-03-09,Melissa Grant
HIST-0005339,OPP-00681,Amount,,5500,2021-03-09,Melissa Grant
HIST-0005340,OPP-00681,StageName,1 - Prospecting,2 - Scoping,2021-04-13,Melissa Grant
HIST-0005341,OPP-00681,StageName,2 - Scoping,3 - Engaged,2021-05-04,Melissa Grant
HIST-0005342,OPP-00681,StageName,3 - Engaged,4 - Proposal,2021-06-02,Melissa Grant
HIST-0005343,OPP-00681,StageName,4 - Proposal,7 - Closed Lost,2022-02-22,Melissa Grant
HIST-0005344,OPP-00681,CloseDate,2021-10-31,2021-09-30,2021-10-17,Melissa Grant
HIST-0005345,OPP-00681,CloseDate,2021-09-30,2021-12-31,2021-10-18,Melissa Grant
HIST-0005346,OPP-00681,CloseDate,2021-12-31,2022-02-22,2021-12-03,Melissa Grant
HIST-0005347,OPP-00682,StageName,,1 - Prospecting,2024-11-22,Samantha Lee
HIST-0005348,OPP-00682,CloseDate,,2025-03-12,2024-11-22,Samantha Lee
HIST-0005349,OPP-00682,Amount,,5800,2024-11-22,Samantha Lee
HIST-0005350,OPP-00682,StageName,1 - Prospecting,2 - Scoping,2025-01-06,Samantha Lee
HIST-0005351,OPP-00682,StageName,2 - Scoping,6 - Closed Won,2025-03-12,Samantha Lee
HIST-0005352,OPP-00683,StageName,,1 - Prospecting,2024-10-22,Brian Kim
HIST-0005353,OPP-00683,CloseDate,,2025-06-30,2024-10-22,Brian Kim
HIST-0005354,OPP-00683,Amount,,42400,2024-10-22,Brian Kim
HIST-0005355,OPP-00683,StageName,1 - Prospecting,2 - Scoping,2024-11-13,Brian Kim
HIST-0005356,OPP-00683,StageName,2 - Scoping,3 - Engaged,2024-11-27,Brian Kim
HIST-0005357,OPP-00683,StageName,3 - Engaged,4 - Proposal,2025-01-17,Brian Kim
HIST-0005358,OPP-00683,StageName,4 - Proposal,5 - Negotiation,2025-02-28,Brian Kim
HIST-0005359,OPP-00683,StageName,5 - Negotiation,6 - Closed Won,2025-12-22,Brian Kim
HIST-0005360,OPP-00683,CloseDate,2025-06-30,2025-09-30,2025-06-02,Brian Kim
HIST-0005361,OPP-00683,CloseDate,2025-09-30,2025-12-22,2025-09-16,Brian Kim
HIST-0005362,OPP-00684,StageName,,1 - Prospecting,2022-03-08,Rachel Nguyen
HIST-0005363,OPP-00684,CloseDate,,2024-01-23,2022-03-08,Rachel Nguyen
HIST-0005364,OPP-00684,Amount,,26600,2022-03-08,Rachel Nguyen
HIST-0005365,OPP-00684,StageName,1 - Prospecting,2 - Scoping,2022-05-02,Rachel Nguyen
HIST-0005366,OPP-00684,StageName,2 - Scoping,3 - Engaged,2022-05-26,Rachel Nguyen
HIST-0005367,OPP-00684,StageName,3 - Engaged,7 - Closed Lost,2024-01-23,Rachel Nguyen
HIST-0005368,OPP-00685,StageName,,1 - Prospecting,2021-02-06,Antonio Rodriguez
HIST-0005369,OPP-00685,CloseDate,,2022-04-30,2021-02-06,Antonio Rodriguez
HIST-0005370,OPP-00685,Amount,,20000,2021-02-06,Antonio Rodriguez
HIST-0005371,OPP-00685,StageName,1 - Prospecting,2 - Scoping,2021-03-10,Antonio Rodriguez
HIST-0005372,OPP-00685,StageName,2 - Scoping,1 - Prospecting,2021-04-04,Antonio Rodriguez
HIST-0005373,OPP-00685,StageName,1 - Prospecting,2 - Scoping,2021-05-26,Antonio Rodriguez
HIST-0005374,OPP-00685,StageName,2 - Scoping,3 - Engaged,2021-06-25,Antonio Rodriguez
HIST-0005375,OPP-00685,StageName,3 - Engaged,4 - Proposal,2021-07-22,Antonio Rodriguez
HIST-0005376,OPP-00685,StageName,4 - Proposal,7 - Closed Lost,2022-07-14,Antonio Rodriguez
HIST-0005377,OPP-00685,CloseDate,2022-04-30,2022-07-14,2022-04-02,Antonio Rodriguez
HIST-0005378,OPP-00686,StageName,,1 - Prospecting,2025-11-05,Kevin O'Brien
HIST-0005379,OPP-00686,CloseDate,,2025-12-05,2025-11-05,Kevin O'Brien
HIST-0005380,OPP-00686,Amount,,52500,2025-11-05,Kevin O'Brien
HIST-0005381,OPP-00686,StageName,1 - Prospecting,2 - Scoping,2025-12-22,Kevin O'Brien
HIST-0005382,OPP-00686,CloseDate,2025-12-05,2025-12-05,2025-11-21,Kevin O'Brien
HIST-0005383,OPP-00686,CloseDate,2025-12-05,2025-11-30,2025-11-22,Kevin O'Brien
HIST-0005384,OPP-00686,CloseDate,2025-11-30,2025-12-31,2025-11-23,Kevin O'Brien
HIST-0005385,OPP-00686,CloseDate,2025-12-31,2026-03-31,2025-12-17,Kevin O'Brien
HIST-0005386,OPP-00686,CloseDate,2026-03-31,2026-04-24,2026-03-10,Kevin O'Brien
HIST-0005387,OPP-00687,StageName,,1 - Prospecting,2023-08-22,Derek Thompson
HIST-0005388,OPP-00687,CloseDate,,2024-03-31,2023-08-22,Derek Thompson
HIST-0005389,OPP-00687,Amount,,3000,2023-08-22,Derek Thompson
HIST-0005390,OPP-00687,StageName,1 - Prospecting,2 - Scoping,2023-09-19,Derek Thompson
HIST-0005391,OPP-00687,StageName,2 - Scoping,3 - Engaged,2023-11-13,Derek Thompson
HIST-0005392,OPP-00687,StageName,3 - Engaged,4 - Proposal,2023-12-18,Derek Thompson
HIST-0005393,OPP-00687,StageName,4 - Proposal,5 - Negotiation,2024-01-29,Derek Thompson
HIST-0005394,OPP-00687,StageName,5 - Negotiation,6 - Closed Won,2024-02-28,Derek Thompson
HIST-0005395,OPP-00687,StageName,6 - Closed Won,7 - Closed Lost,2024-06-09,Derek Thompson
HIST-0005396,OPP-00687,CloseDate,2024-03-31,2024-04-30,2024-03-03,Derek Thompson
HIST-0005397,OPP-00687,CloseDate,2024-04-30,2024-06-09,2024-04-09,Derek Thompson
HIST-0005398,OPP-00688,StageName,,1 - Prospecting,2026-03-09,Tyler Brooks
HIST-0005399,OPP-00688,CloseDate,,2026-06-08,2026-03-09,Tyler Brooks
HIST-0005400,OPP-00688,Amount,,3000,2026-03-09,Tyler Brooks
HIST-0005401,OPP-00689,StageName,,1 - Prospecting,2022-02-03,Olivia Chen
HIST-0005402,OPP-00689,CloseDate,,2022-09-30,2022-02-03,Olivia Chen
HIST-0005403,OPP-00689,Amount,,800,2022-02-03,Olivia Chen
HIST-0005404,OPP-00689,StageName,1 - Prospecting,2 - Scoping,2022-02-17,Olivia Chen
HIST-0005405,OPP-00689,StageName,2 - Scoping,3 - Engaged,2022-04-02,Olivia Chen
HIST-0005406,OPP-00689,StageName,3 - Engaged,4 - Proposal,2022-05-10,Olivia Chen
HIST-0005407,OPP-00689,StageName,4 - Proposal,5 - Negotiation,2022-06-20,Olivia Chen
HIST-0005408,OPP-00689,StageName,5 - Negotiation,7 - Closed Lost,2022-07-23,Olivia Chen
HIST-0005409,OPP-00689,CloseDate,2022-09-30,2022-07-23,2022-09-16,Olivia Chen
HIST-0005410,OPP-00690,StageName,,1 - Prospecting,2023-09-13,Marcus Webb
HIST-0005411,OPP-00690,CloseDate,,2024-04-30,2023-09-13,Marcus Webb
HIST-0005412,OPP-00690,Amount,,108400,2023-09-13,Marcus Webb
HIST-0005413,OPP-00690,StageName,1 - Prospecting,2 - Scoping,2023-09-29,Marcus Webb
HIST-0005414,OPP-00690,StageName,2 - Scoping,3 - Engaged,2023-10-26,Marcus Webb
HIST-0005415,OPP-00690,StageName,3 - Engaged,4 - Proposal,2023-12-05,Marcus Webb
HIST-0005416,OPP-00690,StageName,4 - Proposal,5 - Negotiation,2024-01-23,Marcus Webb
HIST-0005417,OPP-00690,StageName,5 - Negotiation,6 - Closed Won,2024-02-19,Marcus Webb
HIST-0005418,OPP-00690,StageName,6 - Closed Won,7 - Closed Lost,2024-06-07,Marcus Webb
HIST-0005419,OPP-00690,CloseDate,2024-04-30,2024-03-31,2024-04-16,Marcus Webb
HIST-0005420,OPP-00690,CloseDate,2024-03-31,2024-06-07,2024-04-17,Marcus Webb
HIST-0005421,OPP-00691,StageName,,1 - Prospecting,2022-09-03,Brian Kim
HIST-0005422,OPP-00691,CloseDate,,2022-12-31,2022-09-03,Brian Kim
HIST-0005423,OPP-00691,Amount,,243400,2022-09-03,Brian Kim
HIST-0005424,OPP-00691,StageName,1 - Prospecting,2 - Scoping,2022-10-09,Brian Kim
HIST-0005425,OPP-00691,StageName,2 - Scoping,7 - Closed Lost,2022-11-28,Brian Kim
HIST-0005426,OPP-00691,CloseDate,2022-12-31,2022-10-31,2022-12-03,Brian Kim
HIST-0005427,OPP-00691,CloseDate,2022-10-31,2022-11-28,2022-12-04,Brian Kim
HIST-0005428,OPP-00692,StageName,,1 - Prospecting,2025-06-02,Olivia Chen
HIST-0005429,OPP-00692,CloseDate,,2025-09-07,2025-06-02,Olivia Chen
HIST-0005430,OPP-00692,Amount,,47700,2025-06-02,Olivia Chen
HIST-0005431,OPP-00692,StageName,1 - Prospecting,2 - Scoping,2025-06-23,Olivia Chen
HIST-0005432,OPP-00692,StageName,2 - Scoping,3 - Engaged,2025-07-29,Olivia Chen
HIST-0005433,OPP-00692,StageName,3 - Engaged,7 - Closed Lost,2025-09-07,Olivia Chen
HIST-0005434,OPP-00692,Amount,47700,38600,2025-08-17,Olivia Chen
HIST-0005435,OPP-00693,StageName,,1 - Prospecting,2024-04-01,Sarah Mitchell
HIST-0005436,OPP-00693,CloseDate,,2024-07-24,2024-04-01,Sarah Mitchell
HIST-0005437,OPP-00693,Amount,,8900,2024-04-01,Sarah Mitchell
HIST-0005438,OPP-00693,StageName,1 - Prospecting,2 - Scoping,2024-04-18,Sarah Mitchell
HIST-0005439,OPP-00693,StageName,2 - Scoping,3 - Engaged,2024-06-04,Sarah Mitchell
HIST-0005440,OPP-00693,StageName,3 - Engaged,7 - Closed Lost,2024-07-24,Sarah Mitchell
HIST-0005441,OPP-00694,StageName,,1 - Prospecting,2022-12-24,Marcus Webb
HIST-0005442,OPP-00694,CloseDate,,2023-01-23,2022-12-24,Marcus Webb
HIST-0005443,OPP-00694,Amount,,36000,2022-12-24,Marcus Webb
HIST-0005444,OPP-00694,StageName,1 - Prospecting,2 - Scoping,2023-01-11,Marcus Webb
HIST-0005445,OPP-00694,StageName,2 - Scoping,3 - Engaged,2023-02-28,Marcus Webb
HIST-0005446,OPP-00694,StageName,3 - Engaged,7 - Closed Lost,2023-03-27,Marcus Webb
HIST-0005447,OPP-00694,CloseDate,2023-01-23,2023-01-23,2022-12-26,Marcus Webb
HIST-0005448,OPP-00694,CloseDate,2023-01-23,2022-12-31,2023-01-09,Marcus Webb
HIST-0005449,OPP-00694,CloseDate,2022-12-31,2023-02-28,2023-01-10,Marcus Webb
HIST-0005450,OPP-00694,CloseDate,2023-02-28,2023-01-31,2023-01-31,Marcus Webb
HIST-0005451,OPP-00694,CloseDate,2023-01-31,2023-03-27,2023-02-01,Marcus Webb
HIST-0005452,OPP-00695,StageName,,1 - Prospecting,2024-09-19,Kevin O'Brien
HIST-0005453,OPP-00695,CloseDate,,2025-03-31,2024-09-19,Kevin O'Brien
HIST-0005454,OPP-00695,Amount,,28300,2024-09-19,Kevin O'Brien
HIST-0005455,OPP-00695,StageName,1 - Prospecting,2 - Scoping,2024-10-24,Kevin O'Brien
HIST-0005456,OPP-00695,StageName,2 - Scoping,1 - Prospecting,2024-12-09,Kevin O'Brien
HIST-0005457,OPP-00695,StageName,1 - Prospecting,7 - Closed Lost,2025-01-04,Kevin O'Brien
HIST-0005458,OPP-00695,CloseDate,2025-03-31,2025-02-28,2025-03-10,Kevin O'Brien
HIST-0005459,OPP-00695,CloseDate,2025-02-28,2025-01-04,2025-03-11,Kevin O'Brien
HIST-0005460,OPP-00696,StageName,,1 - Prospecting,2022-09-14,Brian Kim
HIST-0005461,OPP-00696,CloseDate,,2023-02-28,2022-09-14,Brian Kim
HIST-0005462,OPP-00696,Amount,,19600,2022-09-14,Brian Kim
HIST-0005463,OPP-00696,StageName,1 - Prospecting,6 - Closed Won,2023-02-28,Brian Kim
HIST-0005464,OPP-00697,StageName,,1 - Prospecting,2023-10-14,Marcus Webb
HIST-0005465,OPP-00697,CloseDate,,2023-11-30,2023-10-14,Marcus Webb
HIST-0005466,OPP-00697,Amount,,16100,2023-10-14,Marcus Webb
HIST-0005467,OPP-00697,StageName,1 - Prospecting,2 - Scoping,2023-12-01,Marcus Webb
HIST-0005468,OPP-00697,StageName,2 - Scoping,3 - Engaged,2023-12-15,Marcus Webb
HIST-0005469,OPP-00697,StageName,3 - Engaged,4 - Proposal,2024-01-19,Marcus Webb
HIST-0005470,OPP-00697,StageName,4 - Proposal,5 - Negotiation,2024-02-09,Marcus Webb
HIST-0005471,OPP-00697,StageName,5 - Negotiation,6 - Closed Won,2024-03-03,Marcus Webb
HIST-0005472,OPP-00697,StageName,6 - Closed Won,5 - Negotiation,2024-04-13,Marcus Webb
HIST-0005473,OPP-00697,StageName,5 - Negotiation,4 - Proposal,2024-05-08,Marcus Webb
HIST-0005474,OPP-00697,StageName,4 - Proposal,5 - Negotiation,2024-06-26,Marcus Webb
HIST-0005475,OPP-00697,StageName,5 - Negotiation,6 - Closed Won,2024-07-12,Marcus Webb
HIST-0005476,OPP-00697,StageName,6 - Closed Won,7 - Closed Lost,2024-07-31,Marcus Webb
HIST-0005477,OPP-00697,CloseDate,2023-11-30,2024-01-31,2023-11-16,Marcus Webb
HIST-0005478,OPP-00697,CloseDate,2024-01-31,2024-04-30,2024-01-17,Marcus Webb
HIST-0005479,OPP-00697,CloseDate,2024-04-30,2024-07-31,2024-04-16,Marcus Webb
HIST-0005480,OPP-00698,StageName,,1 - Prospecting,2024-03-10,Rachel Nguyen
HIST-0005481,OPP-00698,CloseDate,,2025-09-24,2024-03-10,Rachel Nguyen
HIST-0005482,OPP-00698,Amount,,7100,2024-03-10,Rachel Nguyen
HIST-0005483,OPP-00698,StageName,1 - Prospecting,6 - Closed Won,2025-09-24,Rachel Nguyen
HIST-0005484,OPP-00699,StageName,,1 - Prospecting,2023-04-07,Brian Kim
HIST-0005485,OPP-00699,CloseDate,,2024-11-10,2023-04-07,Brian Kim
HIST-0005486,OPP-00699,Amount,,4800,2023-04-07,Brian Kim
HIST-0005487,OPP-00699,StageName,1 - Prospecting,6 - Closed Won,2024-11-10,Brian Kim
HIST-0005488,OPP-00700,StageName,,1 - Prospecting,2024-01-01,Marcus Webb
HIST-0005489,OPP-00700,CloseDate,,2025-07-31,2024-01-01,Marcus Webb
HIST-0005490,OPP-00700,Amount,,13300,2024-01-01,Marcus Webb
HIST-0005491,OPP-00700,StageName,1 - Prospecting,2 - Scoping,2024-01-22,Marcus Webb
HIST-0005492,OPP-00700,StageName,2 - Scoping,3 - Engaged,2024-02-07,Marcus Webb
HIST-0005493,OPP-00700,StageName,3 - Engaged,6 - Closed Won,2025-06-12,Marcus Webb
HIST-0005494,OPP-00700,CloseDate,2025-07-31,2025-06-12,2025-07-10,Marcus Webb
HIST-0005495,OPP-00701,StageName,,1 - Prospecting,2023-09-28,Olivia Chen
HIST-0005496,OPP-00701,CloseDate,,2025-05-19,2023-09-28,Olivia Chen
HIST-0005497,OPP-00701,Amount,,331500,2023-09-28,Olivia Chen
HIST-0005498,OPP-00701,StageName,1 - Prospecting,2 - Scoping,2023-11-04,Olivia Chen
HIST-0005499,OPP-00701,StageName,2 - Scoping,3 - Engaged,2023-12-06,Olivia Chen
HIST-0005500,OPP-00701,StageName,3 - Engaged,6 - Closed Won,2025-05-19,Olivia Chen
HIST-0005501,OPP-00702,StageName,,1 - Prospecting,2021-11-11,Priya Patel
HIST-0005502,OPP-00702,CloseDate,,2022-01-31,2021-11-11,Priya Patel
HIST-0005503,OPP-00702,Amount,,288700,2021-11-11,Priya Patel
HIST-0005504,OPP-00702,StageName,1 - Prospecting,2 - Scoping,2021-11-30,Priya Patel
HIST-0005505,OPP-00702,StageName,2 - Scoping,3 - Engaged,2022-01-02,Priya Patel
HIST-0005506,OPP-00702,StageName,3 - Engaged,4 - Proposal,2022-02-03,Priya Patel
HIST-0005507,OPP-00702,StageName,4 - Proposal,5 - Negotiation,2022-02-17,Priya Patel
HIST-0005508,OPP-00702,StageName,5 - Negotiation,6 - Closed Won,2022-04-05,Priya Patel
HIST-0005509,OPP-00702,StageName,6 - Closed Won,7 - Closed Lost,2022-08-23,Priya Patel
HIST-0005510,OPP-00702,CloseDate,2022-01-31,2022-03-31,2022-01-17,Priya Patel
HIST-0005511,OPP-00702,CloseDate,2022-03-31,2022-05-31,2022-03-03,Priya Patel
HIST-0005512,OPP-00702,CloseDate,2022-05-31,2022-08-23,2022-05-03,Priya Patel
HIST-0005513,OPP-00703,StageName,,1 - Prospecting,2022-08-21,Brian Kim
HIST-0005514,OPP-00703,CloseDate,,2024-03-31,2022-08-21,Brian Kim
HIST-0005515,OPP-00703,Amount,,487100,2022-08-21,Brian Kim
HIST-0005516,OPP-00703,StageName,1 - Prospecting,2 - Scoping,2022-09-19,Brian Kim
HIST-0005517,OPP-00703,StageName,2 - Scoping,3 - Engaged,2022-10-19,Brian Kim
HIST-0005518,OPP-00703,StageName,3 - Engaged,2 - Scoping,2022-11-12,Brian Kim
HIST-0005519,OPP-00703,StageName,2 - Scoping,3 - Engaged,2022-12-13,Brian Kim
HIST-0005520,OPP-00703,StageName,3 - Engaged,2 - Scoping,2023-01-28,Brian Kim
HIST-0005521,OPP-00703,StageName,2 - Scoping,7 - Closed Lost,2024-04-10,Brian Kim
HIST-0005522,OPP-00703,CloseDate,2024-03-31,2024-04-10,2024-03-17,Brian Kim
HIST-0005523,OPP-00704,StageName,,1 - Prospecting,2022-05-14,Rachel Nguyen
HIST-0005524,OPP-00704,CloseDate,,2023-12-31,2022-05-14,Rachel Nguyen
HIST-0005525,OPP-00704,Amount,,3000,2022-05-14,Rachel Nguyen
HIST-0005526,OPP-00704,StageName,1 - Prospecting,2 - Scoping,2022-05-30,Rachel Nguyen
HIST-0005527,OPP-00704,StageName,2 - Scoping,3 - Engaged,2022-06-27,Rachel Nguyen
HIST-0005528,OPP-00704,StageName,3 - Engaged,4 - Proposal,2022-07-18,Rachel Nguyen
HIST-0005529,OPP-00704,StageName,4 - Proposal,5 - Negotiation,2022-08-20,Rachel Nguyen
HIST-0005530,OPP-00704,StageName,5 - Negotiation,6 - Closed Won,2022-09-12,Rachel Nguyen
HIST-0005531,OPP-00704,StageName,6 - Closed Won,5 - Negotiation,2023-01-11,Rachel Nguyen
HIST-0005532,OPP-00704,StageName,5 - Negotiation,4 - Proposal,2023-02-12,Rachel Nguyen
HIST-0005533,OPP-00704,StageName,4 - Proposal,3 - Engaged,2023-03-28,Rachel Nguyen
HIST-0005534,OPP-00704,StageName,3 - Engaged,7 - Closed Lost,2024-01-28,Rachel Nguyen
HIST-0005535,OPP-00704,CloseDate,2023-12-31,2023-10-31,2023-12-17,Rachel Nguyen
HIST-0005536,OPP-00704,CloseDate,2023-10-31,2023-11-30,2023-12-18,Rachel Nguyen
HIST-0005537,OPP-00704,CloseDate,2023-11-30,2024-01-31,2023-12-19,Rachel Nguyen
HIST-0005538,OPP-00704,CloseDate,2024-01-31,2024-03-31,2024-01-10,Rachel Nguyen
HIST-0005539,OPP-00704,CloseDate,2024-03-31,2024-01-28,2024-03-03,Rachel Nguyen
HIST-0005540,OPP-00705,StageName,,1 - Prospecting,2022-05-19,Olivia Chen
HIST-0005541,OPP-00705,CloseDate,,2022-06-18,2022-05-19,Olivia Chen
HIST-0005542,OPP-00705,Amount,,3300,2022-05-19,Olivia Chen
HIST-0005543,OPP-00705,StageName,1 - Prospecting,2 - Scoping,2022-06-11,Olivia Chen
HIST-0005544,OPP-00705,StageName,2 - Scoping,3 - Engaged,2022-07-08,Olivia Chen
HIST-0005545,OPP-00705,StageName,3 - Engaged,2 - Scoping,2022-08-06,Olivia Chen
HIST-0005546,OPP-00705,StageName,2 - Scoping,7 - Closed Lost,2022-08-16,Olivia Chen
HIST-0005547,OPP-00705,CloseDate,2022-06-18,2022-05-31,2022-05-21,Olivia Chen
HIST-0005548,OPP-00705,CloseDate,2022-05-31,2022-08-16,2022-05-22,Olivia Chen
HIST-0005549,OPP-00706,StageName,,1 - Prospecting,2024-11-17,Samantha Lee
HIST-0005550,OPP-00706,CloseDate,,2024-12-17,2024-11-17,Samantha Lee
HIST-0005551,OPP-00706,Amount,,55200,2024-11-17,Samantha Lee
HIST-0005552,OPP-00706,StageName,1 - Prospecting,2 - Scoping,2024-12-18,Samantha Lee
HIST-0005553,OPP-00706,StageName,2 - Scoping,1 - Prospecting,2025-01-19,Samantha Lee
HIST-0005554,OPP-00706,StageName,1 - Prospecting,2 - Scoping,2025-03-02,Samantha Lee
HIST-0005555,OPP-00706,StageName,2 - Scoping,3 - Engaged,2025-04-13,Samantha Lee
HIST-0005556,OPP-00706,StageName,3 - Engaged,7 - Closed Lost,2025-05-29,Samantha Lee
HIST-0005557,OPP-00706,CloseDate,2024-12-17,2025-01-31,2024-11-19,Samantha Lee
HIST-0005558,OPP-00706,CloseDate,2025-01-31,2025-02-28,2025-01-03,Samantha Lee
HIST-0005559,OPP-00706,CloseDate,2025-02-28,2025-05-29,2025-02-14,Samantha Lee
HIST-0005560,OPP-00707,StageName,,1 - Prospecting,2024-04-27,Samantha Lee
HIST-0005561,OPP-00707,CloseDate,,2024-07-31,2024-04-27,Samantha Lee
HIST-0005562,OPP-00707,Amount,,290400,2024-04-27,Samantha Lee
HIST-0005563,OPP-00707,StageName,1 - Prospecting,2 - Scoping,2024-05-25,Samantha Lee
HIST-0005564,OPP-00707,StageName,2 - Scoping,3 - Engaged,2024-07-12,Samantha Lee
HIST-0005565,OPP-00707,StageName,3 - Engaged,4 - Proposal,2024-08-20,Samantha Lee
HIST-0005566,OPP-00707,StageName,4 - Proposal,5 - Negotiation,2024-09-28,Samantha Lee
HIST-0005567,OPP-00707,StageName,5 - Negotiation,6 - Closed Won,2024-11-15,Samantha Lee
HIST-0005568,OPP-00707,CloseDate,2024-07-31,2024-10-31,2024-07-17,Samantha Lee
HIST-0005569,OPP-00707,CloseDate,2024-10-31,2024-12-31,2024-10-03,Samantha Lee
HIST-0005570,OPP-00707,CloseDate,2024-12-31,2024-11-15,2024-12-03,Samantha Lee
HIST-0005571,OPP-00708,StageName,,1 - Prospecting,2021-06-30,Natalie Foster
HIST-0005572,OPP-00708,CloseDate,,2021-11-30,2021-06-30,Natalie Foster
HIST-0005573,OPP-00708,Amount,,329700,2021-06-30,Natalie Foster
HIST-0005574,OPP-00708,StageName,1 - Prospecting,2 - Scoping,2021-08-17,Natalie Foster
HIST-0005575,OPP-00708,StageName,2 - Scoping,3 - Engaged,2021-09-28,Natalie Foster
HIST-0005576,OPP-00708,StageName,3 - Engaged,4 - Proposal,2021-11-02,Natalie Foster
HIST-0005577,OPP-00708,StageName,4 - Proposal,3 - Engaged,2021-12-18,Natalie Foster
HIST-0005578,OPP-00708,StageName,3 - Engaged,4 - Proposal,2022-02-06,Natalie Foster
HIST-0005579,OPP-00708,StageName,4 - Proposal,5 - Negotiation,2022-02-21,Natalie Foster
HIST-0005580,OPP-00708,StageName,5 - Negotiation,6 - Closed Won,2022-03-22,Natalie Foster
HIST-0005581,OPP-00708,CloseDate,2021-11-30,2022-01-31,2021-11-09,Natalie Foster
HIST-0005582,OPP-00708,CloseDate,2022-01-31,2022-03-22,2022-01-03,Natalie Foster
HIST-0005583,OPP-00709,StageName,,1 - Prospecting,2022-12-07,Antonio Rodriguez
HIST-0005584,OPP-00709,CloseDate,,2023-05-14,2022-12-07,Antonio Rodriguez
HIST-0005585,OPP-00709,Amount,,5400,2022-12-07,Antonio Rodriguez
HIST-0005586,OPP-00709,StageName,1 - Prospecting,6 - Closed Won,2023-05-14,Antonio Rodriguez
HIST-0005587,OPP-00710,StageName,,1 - Prospecting,2021-05-17,Derek Thompson
HIST-0005588,OPP-00710,CloseDate,,2021-05-31,2021-05-17,Derek Thompson
HIST-0005589,OPP-00710,Amount,,69400,2021-05-17,Derek Thompson
HIST-0005590,OPP-00710,StageName,1 - Prospecting,7 - Closed Lost,2021-06-03,Derek Thompson
HIST-0005591,OPP-00710,CloseDate,2021-05-31,2021-06-03,2021-05-18,Derek Thompson
HIST-0005592,OPP-00711,StageName,,1 - Prospecting,2022-11-07,Sarah Mitchell
HIST-0005593,OPP-00711,CloseDate,,2022-11-30,2022-11-07,Sarah Mitchell
HIST-0005594,OPP-00711,Amount,,96100,2022-11-07,Sarah Mitchell
HIST-0005595,OPP-00711,StageName,1 - Prospecting,2 - Scoping,2022-12-27,Sarah Mitchell
HIST-0005596,OPP-00711,StageName,2 - Scoping,7 - Closed Lost,2023-01-31,Sarah Mitchell
HIST-0005597,OPP-00711,CloseDate,2022-11-30,2023-01-31,2022-11-08,Sarah Mitchell
HIST-0005598,OPP-00712,StageName,,1 - Prospecting,2021-04-14,Sarah Mitchell
HIST-0005599,OPP-00712,CloseDate,,2021-11-30,2021-04-14,Sarah Mitchell
HIST-0005600,OPP-00712,Amount,,259500,2021-04-14,Sarah Mitchell
HIST-0005601,OPP-00712,StageName,1 - Prospecting,2 - Scoping,2021-05-24,Sarah Mitchell
HIST-0005602,OPP-00712,StageName,2 - Scoping,3 - Engaged,2021-07-08,Sarah Mitchell
HIST-0005603,OPP-00712,StageName,3 - Engaged,2 - Scoping,2021-08-24,Sarah Mitchell
HIST-0005604,OPP-00712,StageName,2 - Scoping,3 - Engaged,2021-09-29,Sarah Mitchell
HIST-0005605,OPP-00712,StageName,3 - Engaged,4 - Proposal,2021-11-18,Sarah Mitchell
HIST-0005606,OPP-00712,StageName,4 - Proposal,7 - Closed Lost,2022-05-08,Sarah Mitchell
HIST-0005607,OPP-00712,CloseDate,2021-11-30,2021-12-31,2021-11-09,Sarah Mitchell
HIST-0005608,OPP-00712,CloseDate,2021-12-31,2022-03-31,2021-12-17,Sarah Mitchell
HIST-0005609,OPP-00712,CloseDate,2022-03-31,2022-05-08,2022-03-10,Sarah Mitchell
HIST-0005610,OPP-00713,StageName,,1 - Prospecting,2024-04-08,Rachel Nguyen
HIST-0005611,OPP-00713,CloseDate,,2024-06-30,2024-04-08,Rachel Nguyen
HIST-0005612,OPP-00713,Amount,,21500,2024-04-08,Rachel Nguyen
HIST-0005613,OPP-00713,StageName,1 - Prospecting,2 - Scoping,2024-05-21,Rachel Nguyen
HIST-0005614,OPP-00713,StageName,2 - Scoping,3 - Engaged,2024-06-19,Rachel Nguyen
HIST-0005615,OPP-00713,StageName,3 - Engaged,4 - Proposal,2024-08-12,Rachel Nguyen
HIST-0005616,OPP-00713,StageName,4 - Proposal,5 - Negotiation,2024-09-21,Rachel Nguyen
HIST-0005617,OPP-00713,StageName,5 - Negotiation,7 - Closed Lost,2024-10-06,Rachel Nguyen
HIST-0005618,OPP-00713,CloseDate,2024-06-30,2024-05-08,2024-06-16,Rachel Nguyen
HIST-0005619,OPP-00713,CloseDate,2024-05-08,2024-05-08,2024-06-17,Rachel Nguyen
HIST-0005620,OPP-00713,CloseDate,2024-05-08,2024-06-30,2024-06-18,Rachel Nguyen
HIST-0005621,OPP-00713,CloseDate,2024-06-30,2024-09-30,2024-06-19,Rachel Nguyen
HIST-0005622,OPP-00713,CloseDate,2024-09-30,2024-10-06,2024-09-09,Rachel Nguyen
HIST-0005623,OPP-00714,StageName,,1 - Prospecting,2021-10-04,Jennifer Walsh
HIST-0005624,OPP-00714,CloseDate,,2022-01-31,2021-10-04,Jennifer Walsh
HIST-0005625,OPP-00714,Amount,,5300,2021-10-04,Jennifer Walsh
HIST-0005626,OPP-00714,StageName,1 - Prospecting,2 - Scoping,2021-11-11,Jennifer Walsh
